Location,Confirmed Cases,Probable Cases,Total Cases
Alabama,112126,7128,119254
Alaska,N/A,N/A,4895
American Samoa,N/A,N/A,0
Arizona,197844,1615,199459
Arkansas,N/A,N/A,58023
California,N/A,N/A,679099
Colorado,52229,3765,55994
Connecticut,50134,2086,52220
Delaware,15987,989,16976
Florida,N/A,N/A,602113
Georgia,N/A,N/A,260590
Guam,N/A,N/A,1232
Hawaii,N/A,N/A,6738
Idaho,28556,2224,30780
Illinois,225627,1417,227044
Indiana,N/A,N/A,89359
Iowa,N/A,N/A,58215
Kansas,38807,1130,39937
Kentucky,41567,3663,45230
Louisiana,N/A,N/A,145661
Maine,3963,453,4416
Marshall Islands,N/A,N/A,0
Maryland,N/A,N/A,106063
Massachusetts,117085,9418,126503
Michigan,99200,10280,109480
Micronesia,N/A,N/A,0
Minnesota,N/A,N/A,72390
Mississippi,77323,3372,80695
Missouri,N/A,N/A,78062
Montana,6785,0,6785
Nebraska,N/A,N/A,32727
Nevada,N/A,N/A,66938
New Hampshire,N/A,N/A,7159
New Jersey,N/A,N/A,190306
New Mexico,N/A,N/A,24732
New York,N/A,N/A,432458
North Carolina,N/A,N/A,158985
North Dakota,N/A,N/A,10800
Northern Marianas,54,0,54
Ohio,111331,6253,117584
Oklahoma,54821,4894,59715
Oregon,24289,1282,25571
Palau,N/A,N/A,0
Pennsylvania,126835,3701,130536
Puerto Rico,14469,16914,31383
Rhode Island,N/A,N/A,21454
South Carolina,112643,1450,114093
South Dakota,N/A,N/A,11571
Tennessee,144060,3293,147353
Texas,N/A,N/A,592137
Utah,50434,436,50870
Vermont,N/A,N/A,1577
Virgin Islands,N/A,N/A,1052
Virginia,111484,5095,116579
Washington,N/A,N/A,72161
Washington D.C.,N/A,N/A,13722
West Virginia,9364,176,9540
Wisconsin,72260,4832,77092
Wyoming,3135,549,3684